31-03-2026 20:11:32 | GET | cafeteria-api/produtos
s
31-03-2026 20:11:42 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:11:45 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:12:07 | GET | cafeteria-api/produtos
s
31-03-2026 20:12:13 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:12:36 | GET | cafeteria-api/produtos
s
31-03-2026 20:12:58 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:16:01 | GET | cafeteria-api/produtos
31-03-2026 20:17:47 | GET | cafeteria-api/categorias
31-03-2026 20:17:47 | GET | cafeteria-api/produtos
31-03-2026 20:17:50 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:44:23 | GET | cafeteria-api/produtos
31-03-2026 20:44:23 | GET | cafeteria-api/categorias
31-03-2026 20:44:26 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:47:31 | GET | cafeteria-api/categorias
31-03-2026 20:47:31 | GET | cafeteria-api/produtos
31-03-2026 20:47:55 | GET | cafeteria-api/produtos
s
31-03-2026 20:48:20 | GET | cafeteria-api/categorias
31-03-2026 20:48:40 | GET | cafeteria-api/produtos
31-03-2026 20:48:40 | GET | cafeteria-api/categorias
31-03-2026 20:48:43 | GET | cafeteria-api/categorias
31-03-2026 20:48:51 | GET | cafeteria-api/categorias
31-03-2026 20:48:51 | GET | cafeteria-api/produtos
31-03-2026 20:48:55 | OPTIONS | cafeteria-api/produtos
31-03-2026 20:49:14 | GET | cafeteria-api/produtos
s
31-03-2026 20:49:23 | GET | cafeteria-api/categorias
31-03-2026 20:49:23 | GET | cafeteria-api/produtos
31-03-2026 20:49:26 | GET | cafeteria-api/categorias
31-03-2026 20:49:28 | GET | cafeteria-api/categorias
31-03-2026 20:49:38 | GET | cafeteria-api/produtos
s
31-03-2026 20:49:47 | GET | cafeteria-api/produtos
s
31-03-2026 20:49:49 | GET | cafeteria-api/produtos
31-03-2026 20:49:49 | GET | cafeteria-api/categorias
31-03-2026 20:49:53 | GET | cafeteria-api/categorias
31-03-2026 20:49:53 | GET | cafeteria-api/produtos
31-03-2026 20:49:56 | GET | cafeteria-api/categorias
31-03-2026 20:50:02 | GET | cafeteria-api/categorias
31-03-2026 20:50:06 | GET | cafeteria-api/categorias
31-03-2026 20:50:08 | GET | cafeteria-api/categorias
31-03-2026 20:50:21 | GET | cafeteria-api/categorias
31-03-2026 20:50:47 | OPTIONS | cafeteria-api/produtos
07-04-2026 12:36:55 | GET | cafeteria-api/categorias
07-04-2026 12:36:58 | GET | cafeteria-api/categorias
07-04-2026 12:36:58 | GET | cafeteria-api/produtos
07-04-2026 12:37:06 | OPTIONS | cafeteria-api/produtos
07-04-2026 12:43:10 | GET | cafeteria-api/categorias
07-04-2026 12:43:10 | GET | cafeteria-api/produtos
07-04-2026 12:43:16 | POST | cafeteria-api/produtos
07-04-2026 12:43:19 | POST | cafeteria-api/produtos
07-04-2026 12:43:23 | GET | cafeteria-api/categorias
07-04-2026 12:43:23 | GET | cafeteria-api/produtos
07-04-2026 12:44:37 | GET | cafeteria-api/categorias
07-04-2026 12:44:37 | GET | cafeteria-api/produtos
07-04-2026 12:52:25 | GET | cafeteria-api/categorias
07-04-2026 12:52:27 | GET | cafeteria-api/categorias
07-04-2026 12:52:27 | GET | cafeteria-api/produtos
07-04-2026 13:16:47 | GET | cafeteria-api/categorias
07-04-2026 13:16:53 | POST | cafeteria-api/produtos
07-04-2026 13:16:55 | GET | cafeteria-api/categorias
07-04-2026 13:17:01 | OPTIONS | cafeteria-api/produtos/5
07-04-2026 13:18:33 | GET | cafeteria-api/produtos
07-04-2026 13:18:33 | GET | cafeteria-api/categorias
07-04-2026 13:23:06 | GET | cafeteria-api/categorias
07-04-2026 13:23:06 | GET | cafeteria-api/produtos
07-04-2026 13:23:10 | OPTIONS | cafeteria-api/produtos/5
07-04-2026 13:23:36 | OPTIONS | cafeteria-api/produtos/5
07-04-2026 13:24:21 | GET | cafeteria-api/categorias
07-04-2026 13:24:21 | GET | cafeteria-api/produtos
07-04-2026 13:24:23 | OPTIONS | cafeteria-api/produtos/5
07-04-2026 13:26:41 | GET | cafeteria-api/categorias
07-04-2026 13:26:41 | GET | cafeteria-api/produtos
07-04-2026 13:26:44 | DELETE | cafeteria-api/produtos/5
07-04-2026 13:26:46 | GET | cafeteria-api/produtos
07-04-2026 13:27:53 | POST | cafeteria-api/produtos
07-04-2026 13:28:03 | GET | cafeteria-api/produtos
s
07-04-2026 13:29:22 | GET | cafeteria-api/categorias
07-04-2026 13:29:46 | POST | cafeteria-api/produtos
07-04-2026 13:29:47 | GET | cafeteria-api/categorias
07-04-2026 13:31:41 | GET | cafeteria-api/categorias
07-04-2026 13:31:41 | GET | cafeteria-api/produtos
07-04-2026 13:32:11 | POST | cafeteria-api/produtos
07-04-2026 13:32:11 | GET | cafeteria-api/produtos
07-04-2026 13:32:37 | GET | cafeteria-api/categorias
07-04-2026 13:36:21 | GET | cafeteria-api/categorias
07-04-2026 14:26:18 | GET | cafeteria-api/categorias
07-04-2026 14:31:14 | GET | cafeteria-api/categorias
07-04-2026 14:31:32 | POST | cafeteria-api/categorias
07-04-2026 14:31:33 | GET | cafeteria-api/categorias
07-04-2026 14:31:34 | GET | cafeteria-api/categorias
07-04-2026 14:31:34 | GET | cafeteria-api/produtos
07-04-2026 14:31:42 | DELETE | cafeteria-api/produtos/8
07-04-2026 14:31:43 | GET | cafeteria-api/produtos
07-04-2026 14:31:53 | POST | cafeteria-api/produtos
07-04-2026 14:31:53 | GET | cafeteria-api/produtos
07-04-2026 14:32:30 | GET | cafeteria-api/categorias
07-04-2026 14:32:45 | GET | cafeteria-api/categorias
07-04-2026 14:32:45 | GET | cafeteria-api/produtos
07-04-2026 15:47:31 | GET | cafeteria-api/categorias
07-04-2026 15:47:32 | GET | cafeteria-api/categorias
07-04-2026 15:47:34 | GET | cafeteria-api/categorias
07-04-2026 15:47:34 | GET | cafeteria-api/produtos
07-04-2026 15:49:12 | GET | cafeteria-api/categorias
07-04-2026 15:49:12 | GET | cafeteria-api/produtos
07-04-2026 15:49:16 | GET | cafeteria-api/produtos
07-04-2026 15:49:16 | GET | cafeteria-api/categorias
07-04-2026 15:53:13 | GET | cafeteria-api/produtos
07-04-2026 15:53:13 | GET | cafeteria-api/categorias
07-04-2026 15:53:17 | GET | cafeteria-api/categorias
07-04-2026 15:53:17 | GET | cafeteria-api/produtos
07-04-2026 15:53:32 | GET | cafeteria-api/produtos
07-04-2026 15:53:32 | GET | cafeteria-api/categorias
07-04-2026 15:54:24 | GET | cafeteria-api/pedidos
07-04-2026 15:54:47 | GET | cafeteria-api/pedidos
07-04-2026 15:55:52 | GET | cafeteria-api/pedidos
07-04-2026 15:56:43 | GET | cafeteria-api/pedidos
07-04-2026 15:57:15 | GET | cafeteria-api/pedidos
07-04-2026 15:58:58 | GET | cafeteria-api/pedidos
07-04-2026 16:00:05 | GET | cafeteria-api/pedidos
07-04-2026 16:00:25 | GET | cafeteria-api/pedidos
07-04-2026 16:01:23 | GET | cafeteria-api/pedidos
07-04-2026 16:02:33 | GET | cafeteria-api/pedidos
07-04-2026 16:03:14 | GET | cafeteria-api/pedidos
07-04-2026 16:04:07 | GET | cafeteria-api/pedidos
07-04-2026 16:07:21 | POST | cafeteria-api/pedidos
07-04-2026 16:07:39 | GET | cafeteria-api/pedidos
07-04-2026 16:08:48 | GET | cafeteria-api/pedidos
07-04-2026 16:10:14 | GET | cafeteria-api/pedidos
07-04-2026 16:10:19 | GET | cafeteria-api/pedidos
07-04-2026 16:11:24 | GET | cafeteria-api/pedidos
07-04-2026 16:13:03 | POST | cafeteria-api/pedidos
07-04-2026 16:13:41 | POST | cafeteria-api/pedidos
07-04-2026 16:13:45 | GET | cafeteria-api/pedidos
07-04-2026 16:14:10 | GET | cafeteria-api/pedidos
07-04-2026 16:14:13 | GET | cafeteria-api/pedidos
07-04-2026 16:19:08 | GET | cafeteria-api/pedidos
07-04-2026 16:19:45 | GET | cafeteria-api/pedidos
07-04-2026 16:20:46 | GET | cafeteria-api/pedidos
07-04-2026 16:21:21 | GET | cafeteria-api/pedidos
07-04-2026 16:21:22 | GET | cafeteria-api/pedidos
07-04-2026 16:21:24 | POST | cafeteria-api/pedidos
07-04-2026 16:21:24 | GET | cafeteria-api/pedidos
07-04-2026 16:21:32 | POST | cafeteria-api/pedidos
07-04-2026 16:21:32 | GET | cafeteria-api/pedidos
07-04-2026 16:22:33 | GET | cafeteria-api/pedidos
07-04-2026 16:22:34 | DELETE | cafeteria-api/pedidos/5
07-04-2026 16:22:34 | GET | cafeteria-api/pedidos
07-04-2026 16:47:30 | GET | cafeteria-api/pedidos
07-04-2026 16:54:22 | GET | cafeteria-api/pedidos
07-04-2026 16:54:23 | GET | cafeteria-api/pedidos
07-04-2026 16:59:17 | GET | cafeteria-api/pedidos
07-04-2026 16:59:24 | GET | cafeteria-api/pedidos
07-04-2026 16:59:24 | GET | cafeteria-api/pedidos
07-04-2026 17:23:35 | GET | cafeteria-api/pedidos
07-04-2026 17:23:36 | GET | cafeteria-api/pedidos
07-04-2026 17:26:53 | GET | cafeteria-api/pedidos
07-04-2026 17:27:30 | GET | cafeteria-api/pedidos
07-04-2026 17:27:31 | GET | cafeteria-api/pedidos
07-04-2026 17:27:32 | GET | cafeteria-api/pedidos
07-04-2026 17:29:28 | GET | cafeteria-api/pedidos
07-04-2026 17:29:29 | GET | cafeteria-api/pedidos
07-04-2026 18:38:17 | GET | cafeteria-api/pedidos
07-04-2026 18:38:17 | GET | cafeteria-api/pedidos
07-04-2026 18:38:17 | GET | cafeteria-api/pedidos
07-04-2026 18:38:18 | GET | cafeteria-api/pedidos
07-04-2026 18:39:12 | GET | cafeteria-api/categorias
07-04-2026 18:39:12 | GET | cafeteria-api/produtos
07-04-2026 18:44:16 | GET | cafeteria-api/pedidos
07-04-2026 18:44:57 | GET | cafeteria-api/pedidos
07-04-2026 18:45:01 | POST | cafeteria-api/pedidos
07-04-2026 18:45:01 | GET | cafeteria-api/pedidos
07-04-2026 18:45:05 | DELETE | cafeteria-api/pedidos/4
07-04-2026 18:45:05 | GET | cafeteria-api/pedidos
07-04-2026 18:45:31 | GET | cafeteria-api/pedidos
07-04-2026 18:45:34 | GET | cafeteria-api/pedidos
07-04-2026 18:54:27 | GET | cafeteria-api/pedidos
07-04-2026 18:54:29 | GET | cafeteria-api/pedidos
07-04-2026 18:54:54 | GET | cafeteria-api/pedidos
07-04-2026 18:54:55 | GET | cafeteria-api/pedidos
07-04-2026 18:54:57 | GET | cafeteria-api/pedido_item
07-04-2026 18:57:08 | GET | cafeteria-api/pedido_item
07-04-2026 18:57:08 | GET | cafeteria-api/pedido_item
07-04-2026 18:59:48 | GET | cafeteria-api/produtos
07-04-2026 18:59:48 | GET | cafeteria-api/pedido_item
07-04-2026 19:00:19 | GET | cafeteria-api/pedidos
07-04-2026 19:00:20 | GET | cafeteria-api/produtos
07-04-2026 19:00:20 | GET | cafeteria-api/pedido_item
07-04-2026 19:04:15 | GET | cafeteria-api/produtos
07-04-2026 19:04:15 | GET | cafeteria-api/pedido_item
07-04-2026 19:15:29 | POST | cafeteria-api/pedido_item
07-04-2026 19:15:52 | POST | cafeteria-api/pedido_item
07-04-2026 19:16:07 | GET | cafeteria-api/produtos
07-04-2026 19:16:07 | GET | cafeteria-api/pedido_item
07-04-2026 19:17:19 | GET | cafeteria-api/pedido_item
07-04-2026 19:17:19 | GET | cafeteria-api/produtos
07-04-2026 19:18:16 | GET | cafeteria-api/pedido_item
07-04-2026 19:18:44 | GET | cafeteria-api/produtos
em
07-04-2026 19:19:41 | POST | cafeteria-api/pedido_item
07-04-2026 19:20:16 | GET | cafeteria-api/pedidos
07-04-2026 19:20:18 | GET | cafeteria-api/produtos
07-04-2026 19:20:18 | GET | cafeteria-api/pedido_item
07-04-2026 19:24:10 | GET | cafeteria-api/pedido_item
07-04-2026 19:24:41 | GET | cafeteria-api/produtos
07-04-2026 19:24:41 | GET | cafeteria-api/pedido_item
07-04-2026 19:25:45 | GET | cafeteria-api/produtos
07-04-2026 19:25:45 | GET | cafeteria-api/pedido_item
07-04-2026 19:29:06 | GET | cafeteria-api/produtos
07-04-2026 19:29:06 | GET | cafeteria-api/pedido_item
07-04-2026 19:29:07 | GET | cafeteria-api/produtos
07-04-2026 19:29:07 | GET | cafeteria-api/pedido_item
07-04-2026 19:29:21 | GET | cafeteria-api/produtos
07-04-2026 19:29:21 | GET | cafeteria-api/pedido_item
07-04-2026 19:29:40 | POST | cafeteria-api/pedido_item
07-04-2026 19:38:08 | GET | cafeteria-api/produtos
07-04-2026 19:38:08 | GET | cafeteria-api/pedido_item
07-04-2026 19:45:07 | GET | cafeteria-api/pedidos
07-04-2026 19:45:16 | GET | cafeteria-api/produtos
07-04-2026 19:45:16 | GET | cafeteria-api/pedido_item
07-04-2026 19:48:47 | GET | cafeteria-api/pedido_item
07-04-2026 19:48:47 | GET | cafeteria-api/produtos
07-04-2026 19:49:27 | GET | cafeteria-api/produtos
07-04-2026 19:49:27 | GET | cafeteria-api/pedido_item
07-04-2026 19:51:28 | GET | cafeteria-api/produtos
07-04-2026 19:51:28 | GET | cafeteria-api/pedido_item
07-04-2026 19:52:25 | GET | cafeteria-api/produtos
07-04-2026 19:52:25 | GET | cafeteria-api/pedido_item
07-04-2026 19:52:37 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:03 | GET | cafeteria-api/produtos
s
07-04-2026 19:59:03 | GET | cafeteria-api/categorias
07-04-2026 19:59:06 | GET | cafeteria-api/categorias
07-04-2026 19:59:06 | GET | cafeteria-api/produtos
07-04-2026 19:59:12 | GET | cafeteria-api/categorias
07-04-2026 19:59:12 | GET | cafeteria-api/produtos
07-04-2026 19:59:14 | GET | cafeteria-api/pedidos
07-04-2026 19:59:16 | GET | cafeteria-api/pedido_item
07-04-2026 19:59:22 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:23 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:23 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:23 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:23 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:24 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:24 | POST | cafeteria-api/pedido_item
07-04-2026 19:59:24 | POST | cafeteria-api/pedido_item
07-04-2026 20:01:39 | GET | cafeteria-api/produtos
em
07-04-2026 20:01:44 | POST | cafeteria-api/pedido_item
07-04-2026 20:06:15 | GET | cafeteria-api/produtos
em
07-04-2026 20:07:24 | GET | cafeteria-api/produtos
07-04-2026 20:07:24 | GET | cafeteria-api/pedido_item
07-04-2026 20:07:27 | POST | cafeteria-api/pedido_item
07-04-2026 20:09:41 | GET | cafeteria-api/produtos
07-04-2026 20:09:41 | GET | cafeteria-api/pedido_item
07-04-2026 20:09:44 | POST | cafeteria-api/pedido_item
07-04-2026 20:11:28 | GET | cafeteria-api/pedido_item
07-04-2026 20:11:28 | GET | cafeteria-api/produtos
07-04-2026 20:11:32 | POST | cafeteria-api/pedido_item
07-04-2026 20:15:56 | GET | cafeteria-api/produtos
07-04-2026 20:15:56 | GET | cafeteria-api/pedido_item
07-04-2026 20:15:59 | POST | cafeteria-api/pedido_item
07-04-2026 20:15:59 | GET | cafeteria-api/pedido_item
07-04-2026 20:16:18 | POST | cafeteria-api/pedido_item
07-04-2026 20:16:18 | GET | cafeteria-api/pedido_item
07-04-2026 20:16:32 | POST | cafeteria-api/pedido_item
07-04-2026 20:16:32 | GET | cafeteria-api/pedido_item
07-04-2026 20:21:45 | GET | cafeteria-api/pedido_item
07-04-2026 20:22:03 | GET | cafeteria-api/produtos
07-04-2026 20:22:03 | GET | cafeteria-api/pedido_item
10-04-2026 12:53:42 | GET | cafeteria-api/categorias
10-04-2026 12:53:44 | GET | cafeteria-api/pedidos
10-04-2026 12:53:46 | GET | cafeteria-api/produtos
10-04-2026 12:53:46 | GET | cafeteria-api/pedido_item
10-04-2026 13:10:05 | POST | cafeteria-api/pedido_item
10-04-2026 13:13:50 | GET | cafeteria-api/produtos
10-04-2026 13:13:50 | GET | cafeteria-api/pedido_item
10-04-2026 13:13:50 | POST | cafeteria-api/pedido_item
10-04-2026 13:14:00 | POST | cafeteria-api/pedido_item
10-04-2026 13:14:03 | GET | cafeteria-api/produtos
10-04-2026 13:14:03 | GET | cafeteria-api/pedido_item
10-04-2026 13:14:03 | POST | cafeteria-api/pedido_item
10-04-2026 13:21:23 | GET | cafeteria-api/produtos
10-04-2026 13:21:23 | GET | cafeteria-api/pedido_item
10-04-2026 13:21:28 | GET | cafeteria-api/pedidos
10-04-2026 13:21:31 | GET | cafeteria-api/produtos
10-04-2026 13:21:31 | GET | cafeteria-api/pedido_item
10-04-2026 13:21:34 | DELETE | cafeteria-api/pedido_item/7
10-04-2026 13:21:34 | GET | cafeteria-api/pedido_item
10-04-2026 13:21:37 | GET | cafeteria-api/produtos
10-04-2026 13:21:37 | GET | cafeteria-api/pedido_item
10-04-2026 13:38:53 | GET | cafeteria-api/pedidos
10-04-2026 13:38:56 | GET | cafeteria-api/produtos
10-04-2026 13:38:56 | GET | cafeteria-api/pedido_item
10-04-2026 13:39:01 | GET | cafeteria-api/pedidos
10-04-2026 13:39:03 | GET | cafeteria-api/produtos
em
10-04-2026 13:39:06 | GET | cafeteria-api/pedidos
10-04-2026 13:39:07 | GET | cafeteria-api/produtos
10-04-2026 13:39:07 | GET | cafeteria-api/pedido_item
10-04-2026 13:39:09 | GET | cafeteria-api/pedidos
10-04-2026 13:40:38 | GET | cafeteria-api/pedidos
10-04-2026 13:41:11 | GET | cafeteria-api/produtos
10-04-2026 13:41:11 | GET | cafeteria-api/pedido_item
10-04-2026 19:52:51 | GET | cafeteria-api/categorias
10-04-2026 19:52:53 | DELETE | cafeteria-api/categorias/1
10-04-2026 19:55:35 | GET | cafeteria-api/categorias
10-04-2026 19:55:37 | DELETE | cafeteria-api/categorias/1
10-04-2026 19:57:18 | GET | cafeteria-api/categorias
10-04-2026 19:57:20 | GET | cafeteria-api/categorias
10-04-2026 19:57:23 | DELETE | cafeteria-api/categorias/9
10-04-2026 19:59:28 | DELETE | cafeteria-api/categorias/1
10-04-2026 20:01:43 | POST | cafeteria-api/categorias
10-04-2026 20:01:43 | GET | cafeteria-api/categorias
10-04-2026 20:01:45 | DELETE | cafeteria-api/categorias/10
10-04-2026 20:01:45 | GET | cafeteria-api/categorias
10-04-2026 20:01:50 | GET | cafeteria-api/categorias
10-04-2026 20:01:53 | POST | cafeteria-api/categorias
10-04-2026 20:01:53 | GET | cafeteria-api/categorias
10-04-2026 20:01:54 | DELETE | cafeteria-api/categorias/11
10-04-2026 20:01:54 | GET | cafeteria-api/categorias
10-04-2026 20:01:57 | DELETE | cafeteria-api/categorias/9
10-04-2026 20:02:00 | GET | cafeteria-api/categorias
10-04-2026 20:02:00 | GET | cafeteria-api/produtos
10-04-2026 20:02:37 | GET | cafeteria-api/categorias
10-04-2026 20:02:37 | GET | cafeteria-api/produtos
10-04-2026 20:02:39 | GET | cafeteria-api/pedidos
10-04-2026 20:02:41 | GET | cafeteria-api/produtos
10-04-2026 20:02:41 | GET | cafeteria-api/pedido_item
10-04-2026 20:02:43 | GET | cafeteria-api/pedidos
10-04-2026 20:02:45 | GET | cafeteria-api/produtos
10-04-2026 20:02:45 | GET | cafeteria-api/pedido_item
10-04-2026 20:02:46 | GET | cafeteria-api/pedidos
10-04-2026 20:05:44 | GET | cafeteria-api/pedidos
10-04-2026 20:05:46 | GET | cafeteria-api/produtos
10-04-2026 20:05:46 | GET | cafeteria-api/pedido_item
10-04-2026 20:05:49 | GET | cafeteria-api/pedidos
10-04-2026 20:05:50 | GET | cafeteria-api/produtos
10-04-2026 20:05:50 | GET | cafeteria-api/pedido_item
10-04-2026 20:05:53 | GET | cafeteria-api/pedidos
10-04-2026 20:05:55 | GET | cafeteria-api/produtos
10-04-2026 20:05:55 | GET | cafeteria-api/pedido_item
10-04-2026 20:05:56 | GET | cafeteria-api/pedidos
10-04-2026 20:06:39 | GET | cafeteria-api/pedidos
10-04-2026 20:06:39 | GET | cafeteria-api/pedidos
10-04-2026 20:06:40 | GET | cafeteria-api/pedidos
10-04-2026 20:06:40 | GET | cafeteria-api/pedidos
10-04-2026 20:06:40 | GET | cafeteria-api/pedidos
10-04-2026 20:06:40 | GET | cafeteria-api/pedidos
10-04-2026 20:06:41 | GET | cafeteria-api/pedidos
10-04-2026 20:06:41 | GET | cafeteria-api/pedidos
10-04-2026 20:06:53 | GET | cafeteria-api/categorias
10-04-2026 20:06:55 | GET | cafeteria-api/pedidos
10-04-2026 20:06:57 | GET | cafeteria-api/produtos
10-04-2026 20:06:57 | GET | cafeteria-api/pedido_item
10-04-2026 20:09:42 | GET | cafeteria-api/pedidos
10-04-2026 20:09:43 | GET | cafeteria-api/produtos
10-04-2026 20:09:43 | GET | cafeteria-api/pedido_item
10-04-2026 20:10:16 | GET | cafeteria-api/pedidos
10-04-2026 20:10:18 | GET | cafeteria-api/produtos
10-04-2026 20:10:18 | GET | cafeteria-api/pedido_item
10-04-2026 20:10:21 | GET | cafeteria-api/pedidos
10-04-2026 20:10:23 | GET | cafeteria-api/produtos
10-04-2026 20:10:23 | GET | cafeteria-api/pedido_item
10-04-2026 20:10:28 | GET | cafeteria-api/pedidos
