2026-04-10 16:02:28 | GET | meus_planos/itens
2026-04-10 16:02:55 | GET | meus_planos/categorias
2026-04-10 16:02:59 | POST | meus_planos/categorias
2026-04-10 16:02:59 | GET | meus_planos/categorias
2026-04-10 16:03:00 | GET | meus_planos/categorias
2026-04-10 16:03:00 | GET | meus_planos/itens
2026-04-10 16:03:32 | POST | meus_planos/itens
2026-04-10 16:03:32 | GET | meus_planos/itens
2026-04-10 16:03:34 | OPTIONS | meus_planos/itens/2
2026-04-10 16:03:34 | PUT | meus_planos/itens/2
2026-04-10 16:03:36 | GET | meus_planos/itens
rias
2026-04-10 16:03:38 | OPTIONS | meus_planos/itens/2
2026-04-10 16:03:38 | PUT | meus_planos/itens/2
2026-04-10 16:03:46 | POST | meus_planos/itens
2026-04-10 16:03:46 | GET | meus_planos/itens
2026-04-10 16:03:47 | OPTIONS | meus_planos/itens/5
2026-04-10 16:03:47 | DELETE | meus_planos/itens/5
2026-04-10 16:03:47 | GET | meus_planos/itens
2026-04-10 16:03:56 | OPTIONS | meus_planos/itens/4
2026-04-10 16:03:56 | PUT | meus_planos/itens/4
2026-04-10 16:05:39 | GET | meus_planos/itens
rias
2026-04-10 16:05:41 | OPTIONS | meus_planos/itens/4
2026-04-10 16:05:41 | PUT | meus_planos/itens/4
2026-04-10 16:05:41 | OPTIONS | meus_planos/itens/4
2026-04-10 16:05:41 | PUT | meus_planos/itens/4
2026-04-10 16:05:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:05:42 | PUT | meus_planos/itens/4
2026-04-10 16:05:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:05:42 | PUT | meus_planos/itens/4
2026-04-10 16:06:45 | GET | meus_planos/categorias
2026-04-10 16:06:45 | GET | meus_planos/itens
2026-04-10 16:06:48 | OPTIONS | meus_planos/itens/2
2026-04-10 16:06:48 | PUT | meus_planos/itens/2
2026-04-10 16:06:49 | OPTIONS | meus_planos/itens/2
2026-04-10 16:06:49 | PUT | meus_planos/itens/2
2026-04-10 16:06:50 | OPTIONS | meus_planos/itens/2
2026-04-10 16:06:50 | PUT | meus_planos/itens/2
2026-04-10 16:06:51 | GET | meus_planos/categorias
2026-04-10 16:06:51 | GET | meus_planos/itens
2026-04-10 16:06:53 | OPTIONS | meus_planos/itens/2
2026-04-10 16:06:53 | PUT | meus_planos/itens/2
2026-04-10 16:11:26 | GET | meus_planos/itens
rias
2026-04-10 16:11:28 | OPTIONS | meus_planos/itens/2
2026-04-10 16:11:28 | PUT | meus_planos/itens/2
2026-04-10 16:11:29 | OPTIONS | meus_planos/itens/2
2026-04-10 16:11:29 | PUT | meus_planos/itens/2
2026-04-10 16:11:32 | OPTIONS | meus_planos/itens/2
2026-04-10 16:11:32 | PUT | meus_planos/itens/2
2026-04-10 16:34:29 | GET | meus_planos/categorias
2026-04-10 16:34:36 | GET | meus_planos/categorias
2026-04-10 16:34:42 | OPTIONS | meus_planos/categorias/4
2026-04-10 16:34:42 | DELETE | meus_planos/categorias/4
2026-04-10 16:34:42 | GET | meus_planos/categorias
2026-04-10 16:34:47 | POST | meus_planos/categorias
2026-04-10 16:34:47 | GET | meus_planos/categorias
2026-04-10 16:34:49 | GET | meus_planos/categorias
2026-04-10 16:34:49 | GET | meus_planos/itens
2026-04-10 16:34:55 | OPTIONS | meus_planos/itens/2
2026-04-10 16:34:55 | PUT | meus_planos/itens/2
2026-04-10 16:34:56 | OPTIONS | meus_planos/itens/4
2026-04-10 16:34:56 | PUT | meus_planos/itens/4
2026-04-10 16:34:57 | GET | meus_planos/categorias
2026-04-10 16:39:27 | GET | meus_planos/categorias
2026-04-10 16:39:29 | OPTIONS | meus_planos/itens/4
2026-04-10 16:39:29 | PUT | meus_planos/itens/4
